,habitat_id,habitat_code,habitat_priority,habitat_np,habitat_cover,habitat_caves,habitat_data_quality,habitat_representativity,habitat_relative_surface,habitat_conservation,habitat_global,site_code,habitat_cover_ha,year,id_reporte
141,11479,1410,0,0,5.0,,G,B,C,B,B,ES0000013,128.34,2023,135
142,11551,7210,0,0,21.0,,G,B,C,C,C,ES0000013,11.98,2023,135
143,11501,3150,0,0,,,G,B,C,B,B,ES0000013,0.07,2023,135
144,11500,3140,0,0,,,G,B,C,C,C,ES0000013,44.2,2023,135
145,11481,1430,0,0,1.0,,G,B,C,B,B,ES0000013,20.25,2023,135
146,11482,1510,0,0,5.0,,G,B,C,B,B,ES0000013,4.85,2023,135
147,11538,6220,0,0,4.7,,M,A,C,A,A,ES0000014,5451.93,2023,135
148,11549,7140,0,0,0.01,,P,D,,,,ES0000014,1.73,2023,135
149,11520,4090,0,0,0.02,,M,C,C,B,C,ES0000014,17.27,2023,135
150,11541,6410,0,0,0.01,,M,B,C,B,B,ES0000014,12.19,2023,135
151,11502,3160,0,0,0.01,,P,D,,,,ES0000014,0.25,2023,135
152,11503,3170,0,0,0.7,,M,B,C,B,B,ES0000014,80.882,2023,135
153,11540,6310,0,0,46.81,,M,A,C,A,A,ES0000014,54344.87,2023,135
154,11558,8210,0,0,0.1,,P,D,,,,ES0000014,121.86,2023,135
155,11583,9330,0,0,2.5,,M,B,C,B,B,ES0000014,2898.1,2023,135
156,11546,7110,0,0,0.01,,M,C,C,A,C,ES0000014,0.6,2023,135
157,11511,3280,0,0,0.01,,M,B,C,B,B,ES0000014,12.19,2023,135
158,11509,3260,0,0,0.01,,M,B,C,B,B,ES0000014,14.76,2023,135
159,11572,91B0,0,0,0.01,,M,C,C,B,C,ES0000014,7.33,2023,135
160,11500,3140,0,0,0.1,,P,D,,,,ES0000014,121.86,2023,135
161,11560,8230,0,0,0.1,,M,C,C,C,C,ES0000014,121.86,2023,135
162,11529,5330,0,0,3.43,,M,B,C,B,B,ES0000014,3983.64,2023,135
163,11559,8220,0,0,1.04,,M,B,C,B,B,ES0000014,1208.97,2023,135
164,11508,3250,0,0,0.1,,P,D,,,,ES0000014,121.86,2023,135
165,11497,3110,0,0,0.01,,P,D,,,,ES0000014,3.16,2023,135
166,11501,3150,0,0,0.01,,P,D,,,,ES0000014,0.11,2023,135
167,11524,5210,0,0,0.07,,M,B,C,B,B,ES0000014,86.09,2023,135
168,11577,9240,0,0,0.23,,M,A,C,A,A,ES0000014,264.11,2023,135
169,11510,3270,0,0,0.06,,M,B,B,B,B,ES0000014,73.12,2023,135
170,11574,91E0,0,0,0.2,,M,B,C,B,B,ES0000014,228.3,2023,135
171,11557,8130,0,0,0.43,,M,C,C,B,C,ES0000014,497.2,2023,135
172,11579,92A0,0,0,0.03,,M,B,C,B,B,ES0000014,39.4,2023,135
173,11542,6420,0,0,0.02,,M,B,C,B,B,ES0000014,27.26,2023,135
174,11584,9340,0,0,9.18,,M,B,C,B,B,ES0000014,10661.43,2023,135
175,11581,92D0,0,0,0.44,,M,B,C,B,B,ES0000014,512.74,2023,135
176,11515,4030,0,0,3.9,,M,B,C,B,B,ES0000014,4529.93,2023,135
177,11544,6510,0,0,0.1,,P,D,,,,ES0000014,121.86,2023,135
178,11576,9230,0,0,0.07,,P,D,,,,ES0000014,81.66,2023,135
179,11578,9260,0,0,0.11,,M,C,C,C,C,ES0000014,131.23,2023,135
180,11582,9320,0,0,0.18,,M,B,C,B,C,ES0000014,206.2,2023,135
181,11569,9150,0,0,5.91,,M,A,C,A,A,ES0000016,933.26,2023,135
182,11557,8130,0,0,4.34,,M,A,C,A,A,ES0000016,685.78,2023,135
183,11577,9240,0,0,0.28,,M,B,C,B,B,ES0000016,44.27,2023,135
184,11533,6140,0,0,3.18,,M,A,C,A,A,ES0000016,502.77,2023,135
185,11507,3240,0,0,0.14,,M,A,C,A,A,ES0000016,22.64,2023,135
186,11567,9130,0,0,,,P,C,C,C,C,ES0000016,242.97,2023,135
187,11553,7230,0,0,0.05,,M,A,C,A,A,ES0000016,8.23,2023,135
188,11556,8120,0,0,0.32,,DD,B,C,C,B,ES0000016,50.49,2023,135
189,11544,6510,0,0,0.08,,M,C,C,C,C,ES0000016,13.37,2023,135
190,11520,4090,0,0,5.54,,M,C,C,C,B,ES0000016,874.93,2023,135
191,11554,7240,0,0,,,DD,A,C,A,A,ES0000016,,2023,135
192,11584,9340,0,0,2.11,,M,A,C,A,A,ES0000016,332.85,2023,135
