species_id,species_group,species_code,species_name,species_sensitive,species_np,species_type,species_size_min,species_size_max,species_unit,species_category,species_data_quality,species_population,species_conservation,species_isolation,species_global,site_code,year,id_reporte,species_id_type,species_id_unit
11451,M,1303,Rhinolophus hipposideros,,,p,2.0,2.0,grids10x10,P,P,C,,C,,ES5110014,2023,135,201,47.0
11230,M,1305,Rhinolophus euryale,,,w,1.0,1.0,grids10x10,,P,B,A,C,A,ES4320078,2023,135,63,47.0
14061,B,A604,Larus michahellis,,,p,,,,P,DD,D,,,,ES0000521,2023,135,201,
11351,B,A085,Accipiter gentilis,,,p,,,,C,DD,C,A,C,C,ES4110002,2023,135,201,
11519,B,A169,Arenaria interpres,,,w,6.0,,i,P,G,C,A,C,C,ES6120008,2023,135,63,36.0
11903,R,1220,Emys orbicularis,,,p,1.0,1.0,grids1x1,,P,D,C,C,C,ES4310008,2023,135,201,22.0
11055,B,A338,Lanius collurio,,,r,,,,R,DD,C,B,C,C,ES0000144,2023,135,62,
14023,B,A014,Hydrobates pelagicus,,,p,20.0,,p,,M,C,B,C,B,ES0000176,2023,135,201,34.0
11476,B,A379,Emberiza hortulana,,,r,,,i,P,DD,C,B,C,B,ES0000307,2023,135,62,36.0
14057,B,A183,Larus fuscus,,,c,,,,R,DD,D,,,,ES5310023,2023,135,202,
29856,B,A722,Porphyrio porphyrio porphyrio,,,r,,3.0,p,P,G,C,B,C,C,ES0000030,2023,135,62,34.0
11262,B,A147,Calidris ferruginea,,,c,1.0,150.0,i,P,M,B,B,C,B,ES0000140,2023,135,202,36.0
11313,B,A078,Gyps fulvus,,,p,,,,C,DD,C,B,C,B,ES1200008,2023,135,201,
11632,A,1172,Chioglossa lusitanica,,,p,,,,C,DD,C,B,A,B,ES1120009,2023,135,201,
10755,M,1354,Ursus arctos,,,p,,,,P,DD,C,B,B,B,ES1300021,2023,135,201,
12286,B,A048,Tadorna tadorna,,,w,1.0,1.0,i,,G,C,,A,,ES5130018,2023,135,63,36.0
11817,B,A095,Falco naumanni,,,w,25.0,100.0,i,P,G,C,C,C,B,ES0000024,2023,135,63,36.0
