,idtaxon,idestadoconservacion,estadoconservacion,anio,idcategoria,categoriaconservacion,idcriterio,criteriomedidaconservacion,descripcion,criterios,idautoridad,autoridad,idaplicaa,aplicaa,iddataset,fechaalta,fechabaja,idvigente,vigencia,observaciones,idnombre
17618,29348,,,2017,13,CR (En peligro crítico),,,,A2ace; C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17619,29349,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17620,29350,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17621,29350,,,2020,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17622,29352,,,2008,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17623,29353,,,2018,13,CR (En peligro crítico),,,,"B1ab(v) ;C2a(i,ii) ;D",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17624,29353,,,2020,13,CR (En peligro crítico),,,,"B1ab(v) ; C2a(i,ii) ; D",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17625,29353,,,2021,13,CR (En peligro crítico),,,,"B1ab(v) ; C2a(i,ii) ; D",1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17626,29354,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17627,29355,,,2018,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17628,29356,,,2016,19,VU (Vulnerable),,,,A3bd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17629,29359,,,2004,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17630,29359,,,2022,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2024-01-18,,,,,
17631,29360,,,2004,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17632,29360,,,2022,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2024-01-18,,,,,
17633,29363,,,2008,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17634,29363,,,2014,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17635,29364,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17636,29365,,,2017,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17637,29366,,,2018,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17638,29367,,,2018,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17639,29368,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17640,29369,,,2018,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17641,29370,,,2018,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17642,29370,,,2020,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17643,29370,,,2021,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17644,29371,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17645,29372,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17646,29373,,,2007,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17647,29373,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17648,29374,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17649,29374,,,2020,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17650,29374,,,2021,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17651,29375,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17652,29377,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17653,29378,,,2018,13,CR (En peligro crítico),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17654,29379,,,2016,19,VU (Vulnerable),,,,A2cd+3cd+4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17655,29379,,,2022,13,CR (En peligro crítico),,,,A2cd+3cd+4cd,1,UICN,1,Mundial,119,2024-01-18,,,,,
17656,29380,,,2018,13,CR (En peligro crítico),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17657,29381,,,2016,15,NT (Casi amenazado),,,,A2cd+3cd+4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17658,29381,,,2020,19,VU (Vulnerable),,,,A2cd+3cd+4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17659,29385,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17660,29387,,,2016,15,NT (Casi amenazado),,,,"B1ab(ii,iii) ;C2a(i)",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17661,29387,,,2019,15,NT (Casi amenazado),,,,"B1ab(ii,iii,v)",1,UICN,1,Mundial,119,,,1.0,Vigente,,
17662,29388,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17663,29389,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17664,29389,,,2021,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17665,29390,,,2016,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17666,29392,,,2016,19,VU (Vulnerable),,,,A2cd+3cd+4cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17667,29392,,,2017,19,VU (Vulnerable),,,,A2cd+3cd+4cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17668,29397,,,2018,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17669,29399,,,2008,19,VU (Vulnerable),,,,A2a,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17670,29399,,,2020,11,EN (En peligro),,,,A2abd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17671,29399,,,2021,11,EN (En peligro),,,,A2abd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17672,29399,,,2022,11,EN (En peligro),,,,A2bd,1,UICN,1,Mundial,119,2024-01-18,,,,,
17673,29401,,,2015,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17674,29401,,,2016,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17675,29402,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17676,29402,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17677,29403,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17678,29403,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17679,29404,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17680,29404,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17681,29405,,,2015,17,DD (Datos insuficientes),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17682,29405,,,2016,17,DD (Datos insuficientes),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17683,29406,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17684,29406,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17685,29407,,,2015,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17686,29407,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17687,29408,,,2015,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17688,29408,,,2016,15,NT (Casi amenazado),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17689,29411,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17690,29412,,,2012,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,,,1.0,Vigente,,
17691,29412,,,2020,11,EN (En peligro),,,,C2a(i),1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17692,29414,,,2016,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17693,29417,,,2007,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17694,29417,,,2010,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17695,29418,,,2008,19,VU (Vulnerable),,,,A3cd+4cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17696,29418,,,2020,19,VU (Vulnerable),,,,A2cd+3cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17697,29419,,,2008,18,LC (Preocupación menor),,,,,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17698,29419,,,2015,19,VU (Vulnerable),,,,A2cd+3cd,1,UICN,1,Mundial,119,,,1.0,Vigente,,
17699,29419,,,2020,19,VU (Vulnerable),,,,A2cd+3cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17700,29419,,,2021,19,VU (Vulnerable),,,,A2cd+3cd,1,UICN,1,Mundial,119,2023-07-27,,1.0,Vigente,,
17701,29419,,,2022,11,EN (En peligro),,,,A3cd,1,UICN,1,Mundial,119,2024-01-18,,,,,
