ID_Ruta,CUADRICULA
2069,30SUG72
2074,30SWG50
2074,30SWG51
2074,30SWG41
2083,30SWG35
2083,30SWG36
2083,30SWG26
2089,30SWG12
2089,30SWG02
2089,30SWG13
2089,30SWG14
2091,30STF72
2091,30STF82
2091,30STF83
2098,30SWG47
2098,30SWG37
2098,30SWG48
2101,30SWG25
2101,30SWG15
2101,30SWG26
2101,30SWG16
2104,30SVF89
2104,30SVF99
2106,30SUG84
2106,30SUG94
2110,30SVF78
2110,30SVF79
2123,30SVF08
2123,30SVF18
2123,30SVF19
2123,30SVF09
2126,30SVF99
2131,30SVG24
2131,30SVG25
2131,30SVG35
2131,30SVG36
2131,30SVG46
2136,30SUF55
2136,30SUF65
2140,30STF86
2140,30STF96
2142,30SWG09
2142,30SVG99
2143,30SVF78
2143,30SVF88
2143,30SVF79
2145,30SVF28
2145,30SVF38
2149,30SUG72
2149,30SUG73
2155,30SUG73
2155,30SUG83
2155,30SUG84
2159,30SVF18
2159,30SVF19
2159,30SVF29
2161,30SWG19
2161,30SWG09
2161,30SWH00
2161,30SWH10
2161,30SWH11
2162,30SVG98
2162,30SWG09
2162,30SVG99
2164,30SVF38
2164,30SVF48
2166,30STF60
2166,30STF70
2171,30SUF86
2171,30SUF96
2171,30SVF06
2172,30SUF45
2172,30SUF55
2173,30STF86
2175,30SUF89
2175,30SUG70
2175,30SUG80
2175,30SUG81
2178,30SUF48
2178,30SUF38
2181,30SWH40
2181,30SWH41
2181,30SWH31
2182,30SUG94
2182,30SVG04
2185,30SVG78
2185,30SVG88
2185,30SVG98
2185,30SVG89
2185,30SVG99
2185,30SVG68
2186,30SVF48
2186,30SVF58
2186,30SVF59
2187,30SVF58
2187,30SVF59
2188,30STE68
2188,30STE69
2188,30STF60
2201,30SVF06
2201,30SVF16
2201,30SVF07
2206,30SVG14
2206,30SVG04
2207,30SUG62
2207,30SUG71
2207,30SUG72
2224,30SUF47
2229,30SWF67
2229,30SWF68
2239,30SWG19
2240,30SUF06
2240,30SUF16
2240,30SUF26
2240,30SUF17
2240,30SUF27
2245,30SWH22
2245,30SWH12
2245,30SWH23
2248,30SWH11
2248,30SWH12
2248,30SWH01
2249,30SWG70
2249,30SWG60
2249,30SWG50
2251,30SWF49
2251,30SWF39
2253,30SWH34
2262,30SVF89
2262,30SVF99
2262,30SVG80
2262,30SVG90
2267,30SVF58
2267,30SVF68
2273,30SUF26
2273,30SUF36
2274,30SVG97
2274,30SWG08
2274,30SVG98
2275,30SVG50
2275,30SVG60
2279,29SQC10
2279,29SQC11
2279,29SQC01
2282,30SVH43
2282,30SVH44
2282,30SVH54
2283,30SUG51
2283,30SUG61
2283,30SUG62
2285,30SVG91
2285,30SVG92
2285,30SWG02
2290,30SWG20
2290,30SWG10
2299,30SUF88
2299,30SUF98
2299,30SUF89
2299,30SUF99
2308,30STG88
2308,30STG69
2308,30STG79
2308,30STG89
2316,30SVG60
2316,30SVG61
2317,30STF95
2317,30SUF05
2319,29SQB08
2319,29SQB09
2349,30SVF78
2349,30SVF68
2357,30SWG10
2357,30SWG11
2358,30SUF76
2358,30SUF86
2361,29SQB59
2361,29SQC50
2362,30SWF29
2362,30SWG20
2362,30SWG10
2364,30SVF88
2364,30SVF98
2365,30SUF35
2365,30SUF36
2367,30SWH00
2367,30SWH01
2375,30SWH33
2376,30SVF16
2376,30SVF26
2380,30SVF68
2380,30SVF69
2381,30SWH33
2381,30SWH23
2381,30SWH34
2381,30SWH24
2382,30SUF48
2385,30SWG61
2385,30SWG51
2385,30SWG62
2385,30SWG52
2395,30SVG90
2395,30SWG00
2397,30SUF69
2397,30SUF79
2398,30SVH43
2398,30SVH32
