taxonid,name,taxonrank,origen,taxonomicgroup,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,nametype
5966,Linaria lamarckii,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Linaria,,lamarckii,,Sinónimo
6738,Onopordum dissectum,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Onopordum,,dissectum,,Sinónimo
10889,Bartramia arcuata Brid.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Bryales,Bartramiaceae,Bartramia,,arcuata,,Sinónimo
11269,Bryum filum Schimp. (basiónimo),Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,,filum,,Sinónimo
11880,Bryum obtusifolium Vill. ex Brid.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Bryum,,obtusifolium,,Sinónimo
11202,Campylium elodes (Hedw.) Kindb.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Hypnales,Amblystegiaceae,Campylium,,elodes,,Sinónimo
11405,Desmatodon guepinii Bruch & Schimp.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Not assigned,Not assigned,Desmatodon,,guepinii,,Sinónimo
11428,Desmatodon heimii (Hedw.) Mitt.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Not assigned,Not assigned,Desmatodon,,heimii,,Sinónimo
12199,Fissidens papillosus Sande Lac.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Fissidentales,Fissidentaceae,Fissidens,,papillosus,,Sinónimo
10908,Hypnum cirrosum (Schwägr.),Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum,,cirrosum,,Sinónimo
11559,Hypnum laetum Brid.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Hypnales,Hypnaceae,Hypnum,,laetum,,Sinónimo
10806,Neckera baetica J. Guerra,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Leucodontales,Neckeraceae,Neckera,,baetica,,Sinónimo
11947,Orthotrichum stramineum var. patens (Bruch & Brid.) Venturi,Variety,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Orthotrichum,,stramineum,patens,Sinónimo
24363,Polytrichum longisetum Sw. ex Brid.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Polytrichales,Polytrichaceae,Polytrichum,,longisetum,,Aceptado/válido
11294,Pottia × andalusica Ros & R. Oliva,Nothospecies,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Pottia,,andalusica,,Sinónimo
12248,Zygodon viridissimus (Dicks.) Brid. var. stirtonii (Schimp.) I. Hagen,Variety,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Orthotrichales,Orthotrichaceae,Zygodon,,viridissimus,stirtonii,Sinónimo
10908,Cirriphyllum cirrosum (Schwägr.) Grout,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Hypnales,Brachytheciaceae,Cirriphyllum,,cirrosum,,Sinónimo
11880,Pohlia cucullata (Schwägr.) Lindb. var. carinata Loeske,Variety,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Pohlia,,cucullata,carinata,Sinónimo
11428,Pottia heimii (Hedw.) Hampe,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Pottiales,Pottiaceae,Pottia,,heimii,,Sinónimo
11269,Webera commutata Schimp.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Webera,,commutata,,Sinónimo
11269,Pohlia carinata (Boulay) Broth.,Species,Especie nativa,Plantas no vasculares,Plantae,Bryophyta,Bryopsida,Bryales,Bryaceae,Pohlia,,carinata,,Sinónimo
2203,Antirrhinum majus subsp. linkianum (Boiss. & Reut.) Rothm.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Antirrhinum,,majus,linkianum,Sinónimo
2322,Arenaria bolosii (Cañig.) L. Sáez & Rosselló,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Caryophyllaceae,Arenaria,,bolosii,,Aceptado/válido
24395,Arum italicum subsp. canariense (Webb & Berthelot) P. C. Boyce,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arum,,italicum,canariense,Aceptado/válido
2988,Campanula primulifolia Brot.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Campanulaceae,Campanula,,primulifolia,,Aceptado/válido
24397,Cheirolophus dariasi (Svent.) Bramwell,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Cheirolophus,,dariasi,,Aceptado/válido
4222,"Echium saetabense Peris, Figuerola & Stübing",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Boraginales,Boraginaceae,Echium,,saetabense,,Sinónimo
4401,Eryngium duriaei subsp. juresianum (M. Laínz) M. Laínz,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Eryngium,,duriaei,juresianum,Sinónimo
910,Euphorbia longifolia Lam.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malpighiales,Euphorbiaceae,Euphorbia,,longifolia,,Sinónimo
24401,Fritillaria caballeroi F.M. Vázquez,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Liliales,Liliaceae,Fritillaria,,caballeroi,,Sinónimo
5106,"Helianthemum raynaudii Ortega Oliv., Romero Garcia & C. Morales",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Malvales,Cistaceae,Helianthemum,,raynaudii,,Sinónimo
24404,Inula bifrons L.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Inula,,bifrons,,Sinónimo
24405,Limonium mansanetianum M.B. Crespo & Lledó,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,mansanetianum,,Aceptado/válido
24406,Limonium pinillense R. Roselló & Peris,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,pinillense,,Aceptado/válido
5954,Linaria benitoi Fern. Casas,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Linaria,,benitoi,,Sinónimo
6836,Orchis robusta (Stephenson) Gölz & H.R. Reinhard,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Orchis,,robusta,,Sinónimo
7588,Reseda hookeri Guss.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Resedaceae,Reseda,,hookeri,,Sinónimo
24414,Sarcocapnos integrifolia (Boiss.) Cuatrec.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Sarcocapnos,,integrifolia,,Aceptado/válido
24415,Sideritis guayedrae Marrero Rodr.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,guayedrae,,Aceptado/válido
8519,Taraxacum stenospermum Sennen,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,,stenospermum,,Sinónimo
12402,Coluber viridiflavus,Species,Especie nativa,Reptiles,Animalia,Chordata,Reptilia,Squamata,Colubridae,Coluber,,viridiflavus,,Sinónimo
32183,Panaxia quadripunctaria,Species,,Invertebrados,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Panaxia,,quadripunctaria,,Sinónimo
8328,Sideritis incana subsp. glauca,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,incana,glauca,Sinónimo
5856,Limonium lanceolatum (Hoffmans. & Link) Franco,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Limonium,,lanceolatum,,Sinónimo
16426,Lanius excubitor meridionalis,Subspecies,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Laniidae,Lanius,,excubitor,meridionalis,Sinónimo
23748,Casmerodius albus albus,Subspecies,Especie nativa,Aves,Animalia,Chordata,Aves,Pelecaniformes,Ardeidae,Casmerodius,,albus,albus,Sinónimo
11787,Eudromias morinellus,Species,Especie nativa,Aves,Animalia,Chordata,Aves,Charadriiformes,Charadriidae,Eudromias,,morinellus,,Sinónimo
11327,Erythropygia galactotes,Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Muscicapidae,Erythropygia,,galactotes,,Sinónimo
12131,Hirundo rupestris,Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Hirundinidae,Hirundo,,rupestris,,Sinónimo
24459,"Tachymarptis melba (Linnaeus, 1758)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Apodiformes,Apodidae,Tachymarptis,,melba,,Aceptado/válido
1794,Acinos alpinus (L.) subsp. meridionalis (Nyman) P.W. Ball,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Acinos,,alpinus,meridionalis,Sinónimo
10446,Aetheorhiza bulbosa (L.) Cass.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Aetheorhiza,,bulbosa,,Sinónimo
2022,Allium chrysonemum Stearn,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,,chrysonemum,,Sinónimo
2029,Allium pallens L.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,,pallens,,Aceptado/válido
2022,"Allium reconditum Pastor, Valdés & Muñoz",Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,,reconditum,,Sinónimo
1843,Anagallis arvensis subsp. parviflora (Hoffmanns. & Link) Arcang.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Anagallis,,arvensis,parviflora,Sinónimo
9920,Artemisia gabriellae Br.-Bl.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Artemisia,,gabriellae,,Sinónimo
3333,Centaurea ornata subsp. saxicola (Lag.) Dostál,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,ornata,saxicola,Sinónimo
3351,Centaurium erythraea subsp. grandiflorum (Biv.) Melderis,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Centaurium,,erythraea,grandiflorum,Sinónimo
3366,Centaurium tenuiflorum subsp. acutiflorum (Schott) Zeltner,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Centaurium,,tenuiflorum,acutiflorum,Sinónimo
3358,Centaurium triphyllum (W. L. E. Schmidt) Melderis,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Centaurium,,triphyllum,,Sinónimo
2899,Lamottea diania (Webb) G. López,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Lamottea,,diania,,Sinónimo
6530,Narcissus papyraceus subsp. panizzianus (Parl.) Arcangeli,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,papyraceus,panizzianus,Sinónimo
6530,Narcissus papyraceus Ker-Gawler subsp. papyraceus,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,papyraceus,papyraceus,Sinónimo
6530,Narcissus papyraceus subsp. polyanthus (Loisel) Ascherson & Graebner,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,papyraceus,polyanthus,Sinónimo
6532,Narcissus pseudonarcissus subsp. major (Curtis) Baker,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,pseudonarcissus,major,Sinónimo
6423,Narcissus requienii M.J. Roemer,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Narcissus,,requienii,,Sinónimo
6550,Nepeta beltranii Pau,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Nepeta,,beltranii,,Sinónimo
2014,Nothoscordum inodorum (Aiton) Nicholson,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Nothoscordum,,inodorum,,Sinónimo
2895,Phonus arborescens (L.) G. López,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Phonus,,arborescens,,Aceptado/válido
7991,Satureja cuneifolia subsp. gracilis (Willk.) G. López,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Satureja,,cuneifolia,gracilis,Sinónimo
7988,Satureja obovata Lag.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Satureja,,obovata,,Aceptado/válido
1518,Scorzonera fistulosa Brot.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Scorzonera,,fistulosa,,Sinónimo
8225,Sedum sediforme subsp. dianium (O. Bolòs) O. Bolòs,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Sedum,,sediforme,dianium,Sinónimo
8346,Sideritis arborescens subsp. paulii (Pau) Heywood,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,arborescens,paulii,Sinónimo
8339,Sideritis endressii subsp. laxespicata (Degen & Debeaux) Heywood,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,endressii,laxespicata,Sinónimo
8331,Sideritis hyssopifolia L. hyssopifolia,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,hyssopifolia,hyssopifolia,Sinónimo
8334,Sideritis incana subsp. sericea (Pers.) Heywood,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,incana,sericea,Sinónimo
8334,Sideritis incana subsp. virgata  (Desf.) Malagarriga,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,incana,virgata,Sinónimo
8342,Sideritis montana subsp. ebracteata (Asso) Murb.,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,montana,ebracteata,Sinónimo
8326,Sideritis scordioides subsp. cavanillesii (Lag.) P.W.Ball,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Lamiaceae,Sideritis,,scordioides,cavanillesii,Sinónimo
8490,Solanum luteum Mill.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Solanum,,luteum,,Sinónimo
25111,Taraxacum officinale Webber,Species,,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Taraxacum,,officinale,,Aceptado/válido
32183,Callimorpha quadripunctaria,Species,,Invertebrados,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Callimorpha,,quadripunctaria,,Sinónimo
8,Aichryson punctatum var. pachycaulon (Bolle) Praeger,Variety,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Saxifragales,Crassulaceae,Aichryson,,punctatum,pachycaulon,Sinónimo
1702,Allium ampeloprasum subsp. pardoi (Loscos) O. Bolòs & Vigo,Subspecies,Especie no nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Amaryllidaceae,Allium,,ampeloprasum,pardoi,Sinónimo
1052,Amberboa bollei Bolle,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Amberboa,,bollei,,Sinónimo
6836,Anacamptis robusta (T. Stephenson) R.M. Bateman,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Orchidaceae,Anacamptis,,robusta,,Sinónimo
3470,Anarrhinum tenellum (Cav.) Willd,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Anarrhinum,,tenellum,,Sinónimo
2139,Androcymbium fuerteventurae G. Kunkel & Sunding,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Androcymbium,,fuerteventurae,,Sinónimo
2139,Androcymbium gramineum subsp. psammophilum (Svent.) G. Kunkel,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Androcymbium,,gramineum,psammophilum,Sinónimo
2139,Androcymbium punctatum (Cav.) Baker nom. illeg,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Liliales,Colchicaceae,Androcymbium,,punctatum,,Sinónimo
5979,Anthirrinum maritimum (Lam. & DC.) Poir,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Scrophulariaceae,Anthirrinum,,maritimum,,Sinónimo
2217,Antirrhinum majus subsp. valentinum (Font Quer) Malag,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Antirrhinum,,majus,valentinum,Sinónimo
3470,Antirrhinum tenellum Cav,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Antirrhinum,,tenellum,,Sinónimo
2217,Antirrhinum valentinum f. huteri Rothm,Form,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Antirrhinum,,valentinum,huteri,Sinónimo
24414,Aplectrocapnos integrifolia Boiss,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Papaveraceae,Aplectrocapnos,,integrifolia,,Sinónimo
839,Apollonias ceballosii Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Laurales,Lauraceae,Apollonias,,ceballosii,,Sinónimo
2243,Aquilegia cazorlensis Heywood,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ranunculales,Ranunculaceae,Aquilegia,,cazorlensis,,Sinónimo
9591,Ardisia bahamensis DC.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,,bahamensis,,Sinónimo
9591,Ardisia excelsa Ait,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Ericales,Primulaceae,Ardisia,,excelsa,,Sinónimo
2457,Armeria allioides var. flaccida Boiss,Variety,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,,allioides,flaccida,Sinónimo
2452,Armeria maritima subsp. cantabrica (Boiss. & Reut. ex. Willk.) Bernis,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,,maritima,cantabrica,Sinónimo
2452,Armeria maritima subsp. legionensis (Bernis) M. Laínz,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,,maritima,legionensis,Sinónimo
2457,Armeria maritima var. colorata (Pau) Bernis,Variety,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Caryophyllales,Plumbaginaceae,Armeria,,maritima,colorata,Sinónimo
24395,Arum canariense Webb & Berthel,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Alismatales,Araceae,Arum,,canariense,,Sinónimo
33036,Asparagus amarus DC.,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,,amarus,,Sinónimo
33036,Asparagus levinae Kloko,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,,levinae,,Sinónimo
33036,Asparagus scaber Brign,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Liliopsida,Asparagales,Asparagaceae,Asparagus,,scaber,,Sinónimo
2575,Astragalus caprinus auct.,Nombre mal aplicado,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,caprinus,,Sinónimo
6908,Astragalus jabalambrensis Pau,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,jabalambrensis,,Sinónimo
2564,Astragalus stenophyllus Rouy,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,stenophyllus,,Sinónimo
2602,Astragalus suberosus auct.,Nombre mal aplicado,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,suberosus,,Sinónimo
2564,Astragalus tenuifoliosus Maire,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,tenuifoliosus,,Sinónimo
2564,Astragalus tenuifolius Desf,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Fabales,Fabaceae,Astragalus,,tenuifolius,,Sinónimo
2723,Atropa belladonna subsp. baetica (Willk.) Font Quer,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Solanales,Solanaceae,Atropa,,belladonna,baetica,Sinónimo
117,Bellium cordifolium G. Kunze,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bellium,,cordifolium,,Sinónimo
3488,Brassica longirostra Boiss,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Brassicales,Brassicaceae,Brassica,,longirostra,,Sinónimo
1060,Breweria scoparia (L. f.) Lindb,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Solanales,Convolvulaceae,Breweria,,scoparia,,Sinónimo
853,Bubonium schultzii (Bolle) Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Bubonium,,schultzii,,Sinónimo
121,Bupleurum balansae var. densifoliato Sennen,Variety,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,,balansae,densifoliato,Sinónimo
1055,Bupleurum canescens var. handiense Bolle,Variety,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,,canescens,handiense,Sinónimo
121,Bupleurum melillense Pau,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,,melillense,,Sinónimo
121,Bupleurum rigescens Maire & Sennen,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Apiales,Apiaceae,Bupleurum,,rigescens,,Sinónimo
79299,Callianassa isabelliana Webb & Berthel,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Lamiales,Plantaginaceae,Callianassa,,isabelliana,,Sinónimo
874,Centaurea arbutifolia Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,arbutifolia,,Sinónimo
1052,Centaurea bolleana Bolle,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,bolleana,,Sinónimo
3265,Centaurea haenseleri subsp. epapposa G. López,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,haenseleri,epapposa,Sinónimo
877,Centaurea junoniana Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,junoniana,,Sinónimo
877,Centaurea junoniana var. isoplexiphylla Svent,Variety,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,junoniana,isoplexiphylla,Sinónimo
3263,Centaurea sagredoi subsp. tenuiloba (Boiss.) Blanca,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,sagredoi,tenuiloba,Sinónimo
24397,Centaurea satarataënsis subsp. dariasi Svent,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,satarataënsis,dariasi,Sinónimo
1229,Centaurea satarataënsis Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,satarataënsis,,Sinónimo
871,Centaurea tagananensis Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,tagananensis,,Sinónimo
3505,Centaurea uliginosa Brot,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,uliginosa,,Sinónimo
3345,Centaurea ultreiae Silva Pando,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Asterales,Asteraceae,Centaurea,,ultreiae,,Sinónimo
3364,Centaurium chloodes subsp. somedanum (M. Laínz) C. Romero,Subspecies,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Gentianaceae,Centaurium,,chloodes,somedanum,Sinónimo
7389,Cerasus lusitanica (L.) Dum. Cours,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Rosales,Rosaceae,Cerasus,,lusitanica,,Sinónimo
866,Ceropegia krainzii Svent,Species,Especie nativa,Plantas vasculares,Plantae,Tracheophyta,Magnoliopsida,Gentianales,Apocynaceae,Ceropegia,,krainzii,,Sinónimo
