taxonid,name,taxonrank,origen,taxonomicgroup,kingdom,phylum,class,order,family,genus,subgenus,specificepithet,infraspecificepithet,nametype
11181,"Stictotarsus duodecimpustulatus (Fabricius, 1792)",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Stictotarsus,,duodecimpustulatus,,Aceptado/válido
11182,"Chersophilus duponti (Vieillot, 1824)",Species,Especie nativa,Aves,Animalia,Chordata,Aves,Passeriformes,Alaudidae,Chersophilus,,duponti,,Aceptado/válido
11183,"Pseudochondrostoma duriense (Coelho, 1985)",Species,Especie nativa,Peces,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Pseudochondrostoma,,duriense,,Aceptado/válido
11183,"Chondrostoma duriense Coelho, 1985",Species,Especie nativa,Peces,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Chondrostoma,,duriense,,Sinónimo
11185,"Formica dusmeti Emery, 1909",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Formica,,dusmeti,,Aceptado/válido
11186,"Mallota dusmeti Andréu, 1926",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Mallota,,dusmeti,,Aceptado/válido
11187,"Acilius duvergeri Gobert, 1874",Species,Especie nativa,Invertebrados,Animalia,Arthropoda,Insecta,Coleoptera,Dytiscidae,Acilius,Homoeolytrus,duvergeri,,Aceptado/válido
11190,"Xerocrassa ebusitana (Hidalgo, 1869)",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Stylommatophora,Geoplanidae,Xerocrassa,,ebusitana,,Aceptado/válido
11192,"Alzoniella edmundi (Boeters, 1984)",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Alzoniella,Alzoniella,edmundi,,Aceptado/válido
11192,"Belgrandiella edmundi Boeters, 1984",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Littorinimorpha,Hydrobiidae,Belgrandiella,,edmundi,,Sinónimo
11194,"Xerocrassa edmundi Martínez-Ortí, 2006",Species,Especie nativa,Invertebrados,Animalia,Mollusca,Gastropoda,Stylommatophora,Geoplanidae,Xerocrassa,,edmundi,,Aceptado/válido
