CUADRICULA,Nombre
30TWN22,Bufo bufo
30TWN42,Bufo bufo
30TWN52,Bufo bufo
30TWN62,Bufo bufo
30TWN72,Bufo bufo
30TWN82,Bufo bufo
30TWN92,Bufo bufo
30TXN02,Bufo bufo
30TXN12,Bufo bufo
30TXN22,Bufo bufo
30TXN32,Bufo bufo
30TXN42,Bufo bufo
30TXN52,Bufo bufo
30TXN62,Bufo bufo
30TXN72,Bufo bufo
30TXN82,Bufo bufo
30TXN92,Bufo bufo
30TYN02,Bufo bufo
30TYN22,Bufo bufo
30TYN32,Bufo bufo
30TYN42,Bufo bufo
31TCH71,Bufo bufo
29TPH31,Bufo bufo
31TCH61,Bufo bufo
31TEH00,Bufo bufo
31TCH51,Bufo bufo
29TNH00,Bufo bufo
31TDH90,Bufo bufo
29TPH51,Bufo bufo
31TCH41,Bufo bufo
29TNH10,Bufo bufo
31TDH80,Bufo bufo
31TCH31,Bufo bufo
29TNH20,Bufo bufo
29TPH71,Bufo bufo
31TCH21,Bufo bufo
29TPH81,Bufo bufo
31TCH11,Bufo bufo
29TPH91,Bufo bufo
29TNH50,Bufo bufo
31TBH91,Bufo bufo
29TNH60,Bufo bufo
29TNH70,Bufo bufo
31TBH71,Bufo bufo
31TDH10,Bufo bufo
31TBH61,Bufo bufo
31TDH00,Bufo bufo
31TBH51,Bufo bufo
29TPH00,Bufo bufo
31TCH90,Bufo bufo
30TTN71,Bufo bufo
30TTN81,Bufo bufo
30TTN91,Bufo bufo
30TUN01,Bufo bufo
30TUN11,Bufo bufo
30TUN21,Bufo bufo
30TUN41,Bufo bufo
30TUN61,Bufo bufo
30TVN31,Bufo bufo
30TVN41,Bufo bufo
30TVN61,Bufo bufo
30TVN71,Bufo bufo
30TWN11,Bufo bufo
30TWN21,Bufo bufo
30TWN31,Bufo bufo
30TWN41,Bufo bufo
30TWN51,Bufo bufo
30TWN61,Bufo bufo
30TWN71,Bufo bufo
30TWN81,Bufo bufo
30TXN01,Bufo bufo
30TXN11,Bufo bufo
30TXN21,Bufo bufo
30TXN31,Bufo bufo
30TXN41,Bufo bufo
30TXN51,Bufo bufo
30TXN61,Bufo bufo
30TXN71,Bufo bufo
30TXN81,Bufo bufo
30TXN91,Bufo bufo
30TYN01,Bufo bufo
30TYN11,Bufo bufo
30TYN21,Bufo bufo
30TYN31,Bufo bufo
30TYN41,Bufo bufo
31TEG19,Bufo bufo
29TPH30,Bufo bufo
31TEG09,Bufo bufo
29TPH40,Bufo bufo
31TDG99,Bufo bufo
29TNG19,Bufo bufo
31TDG89,Bufo bufo
29TPH60,Bufo bufo
31TCH30,Bufo bufo
29TNG29,Bufo bufo
31TDG79,Bufo bufo
29TPH70,Bufo bufo
31TCH20,Bufo bufo
29TNG39,Bufo bufo
29TPH80,Bufo bufo
31TCH10,Bufo bufo
29TNG49,Bufo bufo
31TDG59,Bufo bufo
29TPH90,Bufo bufo
29TNG59,Bufo bufo
31TDG49,Bufo bufo
31TBH90,Bufo bufo
31TDG39,Bufo bufo
31TDG19,Bufo bufo
31TBH60,Bufo bufo
29TNG99,Bufo bufo
31TDG09,Bufo bufo
29TQH40,Bufo bufo
31TBH50,Bufo bufo
29TPG09,Bufo bufo
31TCG99,Bufo bufo
30TTN60,Bufo bufo
30TTN70,Bufo bufo
30TTN90,Bufo bufo
30TUN00,Bufo bufo
30TUN50,Bufo bufo
30TUN60,Bufo bufo
30TUN70,Bufo bufo
30TUN90,Bufo bufo
30TVN00,Bufo bufo
30TVN30,Bufo bufo
30TVN40,Bufo bufo
30TVN50,Bufo bufo
30TVN60,Bufo bufo
30TVN70,Bufo bufo
30TWN00,Bufo bufo
30TWN20,Bufo bufo
30TWN30,Bufo bufo
30TWN40,Bufo bufo
30TWN50,Bufo bufo
30TWN60,Bufo bufo
30TWN90,Bufo bufo
30TXN00,Bufo bufo
30TXN10,Bufo bufo
30TXN20,Bufo bufo
30TXN30,Bufo bufo
30TXN40,Bufo bufo
30TXN50,Bufo bufo
30TXN60,Bufo bufo
30TXN70,Bufo bufo
30TXN80,Bufo bufo
30TXN90,Bufo bufo
30TYN00,Bufo bufo
29TPG19,Bufo bufo
31TCG89,Bufo bufo
31TEG28,Bufo bufo
31TCG79,Bufo bufo
31TEG18,Bufo bufo
31TEG08,Bufo bufo
29TPG49,Bufo bufo
31TCG59,Bufo bufo
31TDG98,Bufo bufo
29TPG59,Bufo bufo
31TCG49,Bufo bufo
29TNG18,Bufo bufo
31TDG88,Bufo bufo
29TPG69,Bufo bufo
31TCG39,Bufo bufo
29TNG28,Bufo bufo
31TDG78,Bufo bufo
29TPG79,Bufo bufo
31TCG29,Bufo bufo
29TNG38,Bufo bufo
31TDG68,Bufo bufo
29TPG89,Bufo bufo
31TCG19,Bufo bufo
29TNG48,Bufo bufo
31TDG58,Bufo bufo
29TNG58,Bufo bufo
31TDG48,Bufo bufo
29TNG68,Bufo bufo
31TDG38,Bufo bufo
29TQG19,Bufo bufo
31TBG89,Bufo bufo
31TDG28,Bufo bufo
29TNG88,Bufo bufo
31TDG18,Bufo bufo
31TBG69,Bufo bufo
29TNG98,Bufo bufo
31TDG08,Bufo bufo
31TBG59,Bufo bufo
29TPG08,Bufo bufo
31TCG98,Bufo bufo
30TTM69,Bufo bufo
30TTM79,Bufo bufo
30TUM29,Bufo bufo
30TUM49,Bufo bufo
30TUM59,Bufo bufo
30TUM79,Bufo bufo
30TUM99,Bufo bufo
30TVM09,Bufo bufo
30TVM19,Bufo bufo
30TVM29,Bufo bufo
30TVM39,Bufo bufo
30TVM49,Bufo bufo
30TVM59,Bufo bufo
30TVM69,Bufo bufo
30TVM79,Bufo bufo
