Nombre,Longitud_km
Camino del Estany Llong y el Portarró d'Espot - Principal,7.94
Camino del Estany Llong y el Portarró d'Espot - Derivación,2.78
Camino al Estany de Sant Maurici - Principal,3.67
Circuito de Aigüestortes - Principal,1.28
Un valle colgado: Gerber - Principal,7.90
Los Estanys Gémena - Principal,8.72
Ruta de los abetos: La Mata y El Gerdar - Principal,4.93
El Gran Circ de Colomèrs - Principal,14.58
El Clot de la Mainera - Principal,5.56
Hacia los Estanys del Pessó - Principal,8.33
La Vall de Monestero - Principal,2.39
El mirador del Estany de Sant Maurici - Principal,6.80
A caballo de las montañas - Principal,7.55
Cascada de Gerber - Principal,5.38
Ruta de la Nutria (Llúdriga): hacia Llebreta y Aigüestortes - Principal,6.46
Ruta de la Nutria (Llúdriga): hacia Llebreta y Aigüestortes - Variante,2.54
Camino de Rus - Principal,21.41
El Valle del Estany Tort - Principal,11.44
Camino del Estany Saburó - Principal,8.80
El Valle de Besiberri - Principal,6.92
Travesia de los Refugios - Principal,53.57
Travesia de los Refugios - Derivación,0.01
Travesia de los Refugios - Derivación,2.66
Travesia de los Refugios - Derivación,5.00
Ruta de la Marmota: hacia el Estany Negre - Principal,9.20
Enlace Ruta de la Marmota - Travesía de los Refugios - Enlace,0.12
Ruta Azul. Villarreal de San Carlos a Malpartida de Plasencia - Principal,19.19
Ruta Negra. Camino de Barbaón - Principal,24.51
Ruta a Toril y Serrejón - Principal,32.96
Ruta Marrón. Camino vecinal a Serradilla - Principal,12.77
Ruta Amarilla. Mirador de El Serrano-Tajadilla - Principal,9.36
Ruta Morada. Villarreal de San Carlos a Torrejón el Rubio - Principal,11.24
Ruta Verde. Arroyo Malvecino-Cerro Gimio - Principal,8.59
Ruta Verde. Arroyo Malvecino-Cerro Gimio - Variante,0.43
Ruta Roja. Villarreal de San Carlos-Castillo de Monfragüe - Principal,12.96
Ruta Roja. Villarreal de San Carlos-Castillo de Monfragüe - Variante,1.30
Ruta Roja. Villarreal de San Carlos-Castillo de Monfragüe - Derivación,1.82
