,other_species_id,other_species_group,other_species_code,other_species_name,other_species_sensitive,other_species_np,other_species_size_min,other_species_size_max,other_species_unit,other_species_category,other_species_motivation,site_code,year,id_reporte,other_species_type,other_species_id_type,other_species_id_unit
268,2510,P,,Arum pictum subsp. sagittifolium Rosselló & L. Sáez,,,,,,,B,ES0000145,2023,135,np,203,
269,2530,P,,Asphodelus roseus Humbert & Maire,,,,,i,V,D,ES0000049,2023,135,np,203,36.0
270,2537,P,,Asplenium billotii F.W. Schultz,,,1.0,1.0,grids1x1,V,D,ES6200006,2023,135,np,203,22.0
271,5401,P,,Juncus bulbosus L.,,,,,,P,D,ES0000057,2023,135,np,203,
272,2539,P,,Asplenium fontanum (L.) Bernh. subsp. fontanum,,,,,,R,D,ES6200008,2023,135,np,203,
273,2540,P,,Asplenium foreziense Legrand ex Hérib. in Magnier,,,,,,R,D,ES4230002,2023,135,np,203,
274,2543,P,,Asplenium majoricum Litard.,,,,,,,B,ES0000225,2023,135,np,203,
275,2544,P,,Asplenium marinum L.,,,15.0,15.0,i,,D,ES5213018,2023,135,np,203,36.0
276,2545,P,,Asplenium onopteris L.,,,,,,P,D,ES2410012,2023,135,np,203,
277,2546,P,,Asplenium petrarchae (Guérin) DC.,,,7.0,7.0,i,P,D,ES0000053,2023,135,np,203,36.0
278,2548,P,,Asplenium petrarchae subsp. bivalens (D.E. Mey.) Lovis & Reichst.,,,680.0,,i,R,D,ES0000031,2023,135,np,203,36.0
279,2551,P,,Asplenium seelosii Leybold,,,43.0,43.0,i,V,"A,D",ES0000035,2023,135,np,203,36.0
280,2552,P,,Asplenium celtibericum Rivas Mart.,1.0,,,,tufts,V,D,ES6140005,2023,135,np,203,41.0
281,2560,P,,Asplenium viride Huds.,,,,,,P,D,ES2410054,2023,135,np,203,
282,2567,P,,Astragalus alopecuroides subsp. grosii (Pau) Rivas Goday & Rivas Mart.,,,,,,C,"B,D",ES4240009,2023,135,np,203,
283,2568,P,,Astragalus alpinus L.,,,,,,P,D,ES0000016,2023,135,np,203,
284,2569,P,,Astragalus australis (L.) Lam.,,,1.0,1.0,grids10x10,V,D,ES4130003,2023,135,np,203,47.0
285,2572,P,,Astragalus balearicus Chater,,,,,,,B,ES0000073,2023,135,np,203,
286,2573,P,,Astragalus boeticus L.,,,1.0,,localities,P,D,ES0000046,2023,135,np,203,35.0
287,2575,P,,Astragalus cavanillesii Podlech,,,,,i,P,"A,D",ES6110004,2023,135,np,203,36.0
288,2576,P,,Astragalus clusianus Soldano,,,,,,P,"B,D",ES4250009,2023,135,np,203,
289,2578,P,,Astragalus danicus Retz.,,,1.0,1.0,grids10x10,V,"A,D",ES4140011,2023,135,np,203,47.0
290,2581,P,,Astragalus edulis Bunge,,,2.0,5.0,localities,V,"A,D",ES0000046,2023,135,np,203,35.0
291,2583,P,,"Astragalus gines-lopezii Talavera, Podlech, Devesa & Vázq. Pardo",,,,,,P,A,ES4310066,2023,135,np,203,
292,2586,P,,Astragalus granatensis Lam.,,,,,,P,D,ES4240016,2023,135,np,203,
293,2588,P,,Astragalus hispanicus Bunge,,,7.0,7.0,grids1x1,R,"B,D",ES6200028,2023,135,np,203,22.0
294,2595,P,,Astragalus longidentatus Chater,,,1.0,,localities,P,"A,D",ES6110005,2023,135,np,203,35.0
295,2599,P,,Astragalus nevadensis Boiss.,,,,,,P,B,ES6140009,2023,135,np,203,
296,2600,P,,Astragalus nevadensis Boiss. subsp. nevadensis,,,1500.0,2000.0,i,P,D,ES6170006,2023,135,np,203,36.0
297,2602,P,,Astragalus nitidiflorus Jiménez Mun. & Pau,,,,,,V,A,ES6200040,2023,135,np,203,
298,2603,P,,Astragalus oxyglottis M. Bieb.,,,,,,V,A,ES4230013,2023,135,np,203,
299,2606,P,,Astragalus penduliflorus Lam.,,,,,,P,A,ES0000149,2023,135,np,203,
300,2609,P,,Astragalus sesameus L.,,,,,,P,D,ES0000276,2023,135,np,203,
301,2610,P,,Astragalus stella L.,,,,,,P,D,ES0000276,2023,135,np,203,
302,2613,P,,Astragalus turolensis Pau,,,1.0,1.0,grids1x1,V,D,ES4170057,2023,135,np,203,22.0
303,2614,P,,Astragalus vesicarius L.,,,1.0,1.0,grids10x10,V,"A,D",ES4170119,2023,135,np,203,47.0
304,2616,P,,Astrantia major L.,,,,,,R,D,ES0000164,2023,135,np,203,
305,2618,P,,Athamanta hispanica Degen & Hervier,,,2.0,2.0,grids1x1,,D,ES0000262,2023,135,np,203,22.0
306,2623,P,,Athyrium filix-femina (L.) Roth,,,,,,P,D,ES0000090,2023,135,np,203,
307,2639,P,,Atriplex glauca L.,,,,,,P,D,ES4210011,2023,135,np,203,
308,2650,P,,Biscutella baetica Boiss. & Reut.,,,,,,C,B,ES6310001,2023,135,np,203,
309,2667,P,,Blysmus compressus (L.) Link,,,,,,P,D,ES4240007,2023,135,np,203,
310,2679,P,,Brassica balearica Pers.,,,,,,,B,ES0000073,2023,135,np,203,
311,2691,P,,Brassica oleracea L.,,,,,,P,D,ES0000318,2023,135,np,203,
312,2697,P,,Brassica repanda subsp. almeriensis Gómez-Campo,,,,,i,P,"A,D",ES6110003,2023,135,np,203,36.0
313,2704,P,,Botrychium lunaria (L.) Swartz,,,2.0,2.0,tufts,R,D,ES6140005,2023,135,np,203,41.0
314,2712,P,,Atriplex halimus L.,,,,,,V,D,ES6320001,2023,135,np,203,
315,2723,P,,Atropa baetica,1.0,,1.0,1.0,tufts,P,,ES6110003,2023,135,p,201,41.0
316,2724,P,,Atropa belladonna L.,,,45.0,45.0,tufts,V,D,ES0000035,2023,135,np,203,41.0
317,2735,P,,Baldellia ranunculoides (L.) Parl.,,,1.0,1.0,grids1x1,,D,ES0000287,2023,135,np,203,22.0
318,2738,P,,Barbarea vulgaris R. Br.,,,,,,P,D,ES2410056,2023,135,np,203,
319,2740,P,,Barlia robertiana (Loisel.) Greuter,,,1.0,1.0,grids1x1,V,"C,D",ES6200028,2023,135,np,203,22.0
320,2741,P,,Bartsia alpina L.,,,2.0,2.0,grids10x10,R,D,ES4120088,2023,135,np,203,47.0
321,2755,P,,Berberis vulgaris L.,,,,,,P,D,ES2200030,2023,135,np,203,
322,2761,P,,Berula erecta (Huds.) Coville,,,1.0,164.0,i,V,D,ES2110014,2023,135,np,203,36.0
323,2767,P,,Betula alba L.,,,,,,P,D,ES0000016,2023,135,np,203,
324,2769,P,,Betula pendula Roth,,,,,,P,A,ES2410026,2023,135,np,203,
325,2771,P,,Betula pendula subsp. fontqueri (Rothm.) G. Moreno & Peinado,,,2.0,2.0,grids10x10,R,"A,D",ES4110002,2023,135,np,203,47.0
326,2779,P,,Blackstonia perfoliata (L.) Huds.,,,,,,,D,ES5310123,2023,135,np,203,
327,2787,P,,Brassica repanda subsp. confusa (Emb. & Maire) Heywood,,,,,,R,D,ES6200016,2023,135,np,203,
