ID_Ruta,Nombre_Ruta,NOM_ETAPA,Nombre_completo,Longitud,TIPOLOGIA,Description,id,nombre_en,CCAA_1,Provincia_1
3025,PR-GI 099. Eskoriatza-Eskoriatza,,PR-GI 099. Eskoriatza-Eskoriatza ,"7,81",,,PRGI0099_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia, Gipuzkoa"
3026,PR-GI 098. Antzuola (Barrio Uzarraga)-Antzuola (Barrio Uzarraga),,PR-GI 098. Antzuola (Barrio Uzarraga)-Antzuola (Barrio Uzarraga) ,"9,39",,,PRGI0098_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3028,PR-GI 097. Aretxabaleta-Aretxabaleta,,PR-GI 097. Aretxabaleta-Aretxabaleta ,"6,01",,,PRGI0097_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3059,PR-BI 026.1 Variante de Kobakogane,,PR-BI 026.1 Variante de Kobakogane ,"3,68",,,PRBI0026_01E000_0,,País Vasco/Euskadi,Bizkaia
3065,PR-GI 137. Azkoitia-Zestoa,,PR-GI 137. Azkoitia-Zestoa ,"14,48",,,PRGI0137_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3067,PR-GI 127. Anoeta (Plaza de Irura)-Anoeta (Plaza de Irura),,PR-GI 127. Anoeta (Plaza de Irura)-Anoeta (Plaza de Irura) ,"7,68",,,PRGI0127_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3085,PR-GI 120. Parroquia de Villabona-Parroquia de Villabona,,PR-GI 120. Parroquia de Villabona-Parroquia de Villabona ,"9,4",,,PRGI0120_00E000_0,,País Vasco/Euskadi,Gipuzkoa
3109,PR-BI 181. Gernika-Lumo Forua. Por el corazón del estuario,,PR-BI 181. Gernika-Lumo Forua. Por el corazón del estuario ,"12,47",,,PRBI0181_00E000_0,,País Vasco/Euskadi,Bizkaia
3120,PR-BI 163. Gautegiz-Arteaga. Recorrido por un arroyo milenario,,PR-BI 163. Gautegiz-Arteaga. Recorrido por un arroyo milenario ,"4,38",,,PRBI0163_00E000_0,,País Vasco/Euskadi,Bizkaia
3150,PR-BI 009. Areatza-Pagomakurre,,PR-BI 009. Areatza-Pagomakurre ,"7,25",,,PRBI0009_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Bizkaia"
3162,PR-BI 011. Zubialde-Irumugarrieta-Argiñao-Zubialde,,PR-BI 011. Zubialde-Irumugarrieta-Argiñao-Zubialde ,"16,63",,,PRBI0011_00E000_0,,País Vasco/Euskadi,Bizkaia
3269,PR-BI 074. Andrés Espinosa,,PR-BI 074. Andrés Espinosa ,"23,0",,,PRBI0074_00E000_0,,País Vasco/Euskadi,Bizkaia
3283,PR-GI 037. Gatzaga-Gatzaga,,PR-GI 037. Gatzaga-Gatzaga ,"7,98",,,PRGI0037_00E000_0,,País Vasco/Euskadi,"Araba/Álava, Gipuzkoa"
